device_id,device_type,location,timestamp,temperature,humidity,status
DEV003,humidity,東京,2026-04-27 00:05:00,19.3,51.5,normal
DEV004,temperature,東京,2026-04-27 00:05:00,21.3,66.9,warning
DEV005,vibration,東京,2026-04-27 00:05:00,28.3,56.1,critical
DEV006,vibration,愛知,2026-04-27 00:05:00,29.6,63.9,normal
DEV007,vibration,東京,2026-04-27 00:05:00,23.8,66.1,normal
DEV008,vibration,大阪,2026-04-27 00:05:00,29.8,61.4,warning
DEV009,temperature,東京,2026-04-27 00:05:00,26.4,61.3,warning
DEV010,temperature,東京,2026-04-27 00:05:00,21.6,53.2,critical
DEV011,temperature,愛知,2026-04-27 00:05:00,21.8,49.1,critical
DEV012,vibration,東京,2026-04-27 00:05:00,29.5,37.4,N/A
DEV013,vibration,東京,2026-04-27 00:05:00,28.3,67.7,N/A
DEV014,vibration,愛知,2026-04-27 00:05:00,25.1,46.8,N/A
DEV015,vibration,愛知,2026-04-27 00:05:00,21.8,56.8,normal
DEV016,humidity,東京,2026-04-27 00:05:00,22.7,42.0,normal
DEV017,humidity,愛知,2026-04-27 00:05:00,29.2,N/A,N/A
DEV018,humidity,東京,2026-04-27 00:05:00,30.0,38.5,normal
DEV019,temperature,愛知,2026-04-27 00:05:00,22.2,39.8,normal
DEV020,humidity,大阪,2026-04-27 00:05:00,28.0,54.5,critical
DEV021,humidity,東京,2026-04-27 00:05:00,,42.0,normal
DEV022,temperature,大阪,2026-04-27 00:05:00,19.6,34.3,critical
DEV023,temperature,東京,2026-04-27 00:05:00,21.4,43.7,normal
DEV024,humidity,東京,2026-04-27 00:05:00,21.0,32.0,normal
DEV025,humidity,大阪,2026-04-27 00:05:00,18.5,35.2,normal
DEV026,vibration,大阪,2026-04-27 00:05:00,23.3,52.4,normal
DEV027,temperature,愛知,2026-04-27 00:05:00,28.6,51.8,normal
DEV028,humidity,愛知,2026-04-27 00:05:00,19.8,42.3,normal
DEV029,temperature,大阪,2026-04-27 00:05:00,20.5,34.1,critical
DEV030,temperature,愛知,2026-04-27 00:05:00,22.9,36.2,normal
DEV001,vibration,東京,2026-04-27 00:10:00,29.7,65.3,normal
DEV002,temperature,愛知,2026-04-27 00:10:00,29.1,46.5,normal
DEV003,humidity,東京,2026-04-27 00:10:00,27.4,64.9,warning
DEV004,temperature,東京,2026-04-27 00:10:00,27.8,42.2,normal
DEV005,vibration,東京,2026-04-27 00:10:00,25.9,41.1,normal
DEV006,vibration,愛知,2026-04-27 00:10:00,21.3,46.0,critical
DEV007,vibration,東京,2026-04-27 00:10:00,18.3,40.4,N/A
DEV008,vibration,大阪,2026-04-27 00:10:00,21.2,47.4,normal
DEV009,temperature,東京,2026-04-27 00:10:00,29.8,66.0,normal
DEV010,temperature,東京,2026-04-27 00:10:00,26.5,N/A,critical
DEV011,temperature,愛知,2026-04-27 00:10:00,29.3,37.9,normal
DEV012,vibration,東京,2026-04-27 00:10:00,26.0,42.6,normal
DEV013,vibration,東京,2026-04-27 00:10:00,21.6,46.3,normal
DEV014,vibration,愛知,2026-04-27 00:10:00,24.7,56.6,normal
DEV015,vibration,愛知,2026-04-27 00:10:00,28.8,42.0,critical
DEV016,humidity,東京,2026-04-27 00:10:00,21.6,61.4,N/A
DEV017,humidity,愛知,2026-04-27 00:10:00,23.6,38.5,warning
DEV018,humidity,東京,2026-04-27 00:10:00,29.5,56.4,normal
DEV019,temperature,愛知,2026-04-27 00:10:00,25.6,62.7,normal
DEV020,humidity,大阪,2026-04-27 00:10:00,20.7,31.0,normal
DEV021,humidity,東京,2026-04-27 00:10:00,25.3,48.2,N/A
DEV022,temperature,大阪,2026-04-27 00:10:00,26.4,39.8,normal
DEV023,temperature,東京,2026-04-27 00:10:00,28.3,61.1,normal
DEV024,humidity,東京,2026-04-27 00:10:00,29.5,32.0,normal
DEV025,humidity,大阪,2026-04-27 00:10:00,19.5,48.6,critical
DEV026,vibration,大阪,2026-04-27 00:10:00,25.1,65.7,N/A
DEV027,temperature,愛知,2026-04-27 00:10:00,28.7,66.3,warning
DEV028,humidity,愛知,2026-04-27 00:10:00,26.9,40.4,normal
DEV029,temperature,大阪,2026-04-27 00:10:00,21.3,49.4,normal
DEV030,temperature,愛知,2026-04-27 00:10:00,18.9,40.9,normal
DEV001,vibration,東京,2026-04-27 00:15:00,19.0,45.3,normal
DEV002,temperature,愛知,2026-04-27 00:15:00,18.8,51.7,normal
DEV003,humidity,東京,2026-04-27 00:15:00,28.0,60.8,normal
DEV004,temperature,東京,2026-04-27 00:15:00,27.2,30.2,normal
DEV005,vibration,東京,2026-04-27 00:15:00,22.7,63.4,critical
DEV006,vibration,愛知,2026-04-27 00:15:00,24.6,38.8,normal
DEV007,vibration,東京,2026-04-27 00:15:00,23.8,56.8,normal
DEV008,vibration,大阪,2026-04-27 00:15:00,28.1,69.2,critical
DEV009,temperature,東京,2026-04-27 00:15:00,,52.6,normal
DEV010,temperature,東京,2026-04-27 00:15:00,23.1,37.3,normal
DEV011,temperature,愛知,2026-04-27 00:15:00,20.5,60.4,normal
DEV012,vibration,東京,2026-04-27 00:15:00,29.4,63.4,warning
DEV013,vibration,東京,2026-04-27 00:15:00,,70.0,normal
DEV014,vibration,愛知,2026-04-27 00:15:00,18.8,31.6,normal
DEV015,vibration,愛知,2026-04-27 00:15:00,20.4,N/A,normal
DEV016,humidity,東京,2026-04-27 00:15:00,23.7,67.9,warning
DEV017,humidity,愛知,2026-04-27 00:15:00,27.2,54.3,normal
DEV018,humidity,東京,2026-04-27 00:15:00,20.0,53.1,normal
DEV019,temperature,愛知,2026-04-27 00:15:00,28.9,67.7,normal
DEV020,humidity,大阪,2026-04-27 00:15:00,26.3,34.1,normal
DEV021,humidity,東京,2026-04-27 00:15:00,25.2,69.4,normal
DEV022,temperature,大阪,2026-04-27 00:15:00,23.1,50.2,normal
DEV023,temperature,東京,2026-04-27 00:15:00,,49.6,normal
DEV024,humidity,東京,2026-04-27 00:15:00,25.6,58.3,normal
DEV025,humidity,大阪,2026-04-27 00:15:00,24.3,54.6,critical
DEV026,vibration,大阪,2026-04-27 00:15:00,23.6,53.7,normal
DEV027,temperature,愛知,2026-04-27 00:15:00,28.0,65.3,normal
DEV028,humidity,愛知,2026-04-27 00:15:00,24.8,43.5,warning
DEV029,temperature,大阪,2026-04-27 00:15:00,20.2,61.9,normal
DEV030,temperature,愛知,2026-04-27 00:15:00,25.2,52.2,critical
DEV001,vibration,東京,2026-04-27 00:20:00,19.0,49.5,normal
DEV002,temperature,愛知,2026-04-27 00:20:00,25.8,61.7,normal
DEV003,humidity,東京,2026-04-27 00:20:00,22.9,56.6,normal
DEV004,temperature,東京,2026-04-27 00:20:00,24.4,59.8,normal
DEV005,vibration,東京,2026-04-27 00:20:00,23.4,39.2,normal
DEV006,vibration,愛知,2026-04-27 00:20:00,26.9,57.6,normal
DEV007,vibration,東京,2026-04-27 00:20:00,23.8,69.1,critical
DEV008,vibration,大阪,2026-04-27 00:20:00,29.8,41.8,normal
DEV009,temperature,東京,2026-04-27 00:20:00,18.2,41.0,normal
DEV010,temperature,東京,2026-04-27 00:20:00,26.4,64.7,warning
DEV011,temperature,愛知,2026-04-27 00:20:00,18.1,49.1,normal
DEV012,vibration,東京,2026-04-27 00:20:00,18.6,49.1,normal
DEV013,vibration,東京,2026-04-27 00:20:00,18.9,32.1,normal
DEV014,vibration,愛知,2026-04-27 00:20:00,29.4,39.9,critical
DEV015,vibration,愛知,2026-04-27 00:20:00,25.3,39.0,critical
DEV016,humidity,東京,2026-04-27 00:20:00,28.9,53.5,normal
DEV017,humidity,愛知,2026-04-27 00:20:00,25.5,59.6,normal
DEV018,humidity,東京,2026-04-27 00:20:00,21.2,39.6,critical
DEV019,temperature,愛知,2026-04-27 00:20:00,18.0,53.8,normal
DEV020,humidity,大阪,2026-04-27 00:20:00,999,41.3,warning
DEV021,humidity,東京,2026-04-27 00:20:00,20.8,61.6,N/A
DEV022,temperature,大阪,2026-04-27 00:20:00,29.2,51.8,normal
DEV023,temperature,東京,2026-04-27 00:20:00,27.9,36.6,normal
DEV024,humidity,東京,2026-04-27 00:20:00,27.9,47.6,warning
DEV025,humidity,大阪,2026-04-27 00:20:00,26.4,50.0,warning
DEV026,vibration,大阪,2026-04-27 00:20:00,25.2,59.4,N/A
DEV027,temperature,愛知,2026-04-27 00:20:00,19.1,63.4,N/A
DEV028,humidity,愛知,2026-04-27 00:20:00,18.2,62.9,N/A
DEV029,temperature,大阪,2026-04-27 00:20:00,999,48.8,warning
DEV030,temperature,愛知,2026-04-27 00:20:00,20.2,55.4,warning
DEV001,vibration,東京,2026-04-27 00:25:00,23.6,42.8,normal
DEV002,temperature,愛知,2026-04-27 00:25:00,22.0,41.5,normal
DEV003,humidity,東京,2026-04-27 00:25:00,24.6,42.6,normal
DEV004,temperature,東京,2026-04-27 00:25:00,27.3,63.0,normal
DEV005,vibration,東京,2026-04-27 00:25:00,24.5,37.5,normal
DEV006,vibration,愛知,2026-04-27 00:25:00,24.0,32.1,normal
DEV007,vibration,東京,2026-04-27 00:25:00,29.1,57.9,normal
DEV008,vibration,大阪,2026-04-27 00:25:00,,62.0,normal
DEV009,temperature,東京,2026-04-27 00:25:00,18.2,39.0,normal
DEV010,temperature,東京,2026-04-27 00:25:00,19.4,49.9,normal
DEV011,temperature,愛知,2026-04-27 00:25:00,21.3,69.2,normal
DEV012,vibration,東京,2026-04-27 00:25:00,19.7,54.0,normal
DEV013,vibration,東京,2026-04-27 00:25:00,21.3,46.6,critical
DEV014,vibration,愛知,2026-04-27 00:25:00,18.0,63.5,N/A
DEV015,vibration,愛知,2026-04-27 00:25:00,23.9,51.5,normal
DEV016,humidity,東京,2026-04-27 00:25:00,27.2,67.3,normal
DEV017,humidity,愛知,2026-04-27 00:25:00,20.9,64.2,normal
DEV018,humidity,東京,2026-04-27 00:25:00,999,58.2,normal
DEV019,temperature,愛知,2026-04-27 00:25:00,26.0,69.2,warning
DEV020,humidity,大阪,2026-04-27 00:25:00,19.5,43.3,normal
DEV021,humidity,東京,2026-04-27 00:25:00,23.3,48.3,normal
DEV022,temperature,大阪,2026-04-27 00:25:00,25.9,48.8,normal
DEV023,temperature,東京,2026-04-27 00:25:00,26.3,64.1,critical
DEV024,humidity,東京,2026-04-27 00:25:00,21.8,60.4,critical
DEV025,humidity,大阪,2026-04-27 00:25:00,999,55.2,normal
DEV026,vibration,大阪,2026-04-27 00:25:00,27.0,33.9,normal
DEV027,temperature,愛知,2026-04-27 00:25:00,26.3,31.8,normal
DEV028,humidity,愛知,2026-04-27 00:25:00,22.5,51.2,N/A
DEV029,temperature,大阪,2026-04-27 00:25:00,20.2,54.4,normal
DEV030,temperature,愛知,2026-04-27 00:25:00,20.9,35.7,warning
DEV001,vibration,東京,2026-04-27 00:30:00,23.5,66.0,warning
DEV002,temperature,愛知,2026-04-27 00:30:00,26.1,47.7,normal
DEV003,humidity,東京,2026-04-27 00:30:00,21.6,57.6,warning
DEV004,temperature,東京,2026-04-27 00:30:00,20.4,49.3,normal
DEV005,vibration,東京,2026-04-27 00:30:00,22.3,58.0,normal
DEV006,vibration,愛知,2026-04-27 00:30:00,25.9,52.6,normal
DEV007,vibration,東京,2026-04-27 00:30:00,26.9,66.1,normal
DEV008,vibration,大阪,2026-04-27 00:30:00,22.2,54.8,normal
DEV009,temperature,東京,2026-04-27 00:30:00,28.8,42.4,warning
DEV010,temperature,東京,2026-04-27 00:30:00,999,35.3,normal
DEV011,temperature,愛知,2026-04-27 00:30:00,23.0,61.5,normal
DEV012,vibration,東京,2026-04-27 00:30:00,29.0,40.3,warning
DEV013,vibration,東京,2026-04-27 00:30:00,21.5,62.2,warning
DEV014,vibration,愛知,2026-04-27 00:30:00,19.7,64.4,normal
DEV015,vibration,愛知,2026-04-27 00:30:00,27.7,61.6,normal
DEV016,humidity,東京,2026-04-27 00:30:00,19.5,60.0,normal
DEV017,humidity,愛知,2026-04-27 00:30:00,27.9,34.3,normal
DEV018,humidity,東京,2026-04-27 00:30:00,25.4,43.1,N/A
DEV019,temperature,愛知,2026-04-27 00:30:00,18.8,66.4,normal
DEV020,humidity,大阪,2026-04-27 00:30:00,19.4,,normal
DEV021,humidity,東京,2026-04-27 00:30:00,23.9,65.5,normal
DEV022,temperature,大阪,2026-04-27 00:30:00,22.5,57.9,critical
DEV023,temperature,東京,2026-04-27 00:30:00,26.9,46.6,normal
DEV024,humidity,東京,2026-04-27 00:30:00,25.4,41.2,normal
DEV025,humidity,大阪,2026-04-27 00:30:00,23.3,44.5,normal
DEV026,vibration,大阪,2026-04-27 00:30:00,29.7,45.9,normal
DEV027,temperature,愛知,2026-04-27 00:30:00,29.4,33.7,normal
DEV028,humidity,愛知,2026-04-27 00:30:00,25.2,N/A,normal
DEV029,temperature,大阪,2026-04-27 00:30:00,19.5,32.7,critical
DEV030,temperature,愛知,2026-04-27 00:30:00,20.6,43.1,normal
DEV001,vibration,東京,2026-04-27 00:35:00,25.2,69.4,normal
DEV002,temperature,愛知,2026-04-27 00:35:00,27.6,64.7,normal
DEV003,humidity,東京,2026-04-27 00:35:00,,39.5,normal
DEV004,temperature,東京,2026-04-27 00:35:00,,35.1,normal
DEV005,vibration,東京,2026-04-27 00:35:00,26.9,61.1,critical
DEV006,vibration,愛知,2026-04-27 00:35:00,23.4,54.6,critical
DEV007,vibration,東京,2026-04-27 00:35:00,25.7,,warning
DEV008,vibration,大阪,2026-04-27 00:35:00,23.1,58.5,warning
DEV009,temperature,東京,2026-04-27 00:35:00,19.0,32.6,normal
DEV010,temperature,東京,2026-04-27 00:35:00,25.0,45.2,N/A
DEV011,temperature,愛知,2026-04-27 00:35:00,23.4,34.0,normal
DEV012,vibration,東京,2026-04-27 00:35:00,25.8,58.8,normal
DEV013,vibration,東京,2026-04-27 00:35:00,28.7,63.1,normal
DEV014,vibration,愛知,2026-04-27 00:35:00,19.1,56.6,normal
DEV015,vibration,愛知,2026-04-27 00:35:00,26.2,33.6,normal
DEV016,humidity,東京,2026-04-27 00:35:00,19.2,62.5,critical
DEV017,humidity,愛知,2026-04-27 00:35:00,29.5,56.8,normal
DEV018,humidity,東京,2026-04-27 00:35:00,26.0,64.7,normal
DEV019,temperature,愛知,2026-04-27 00:35:00,25.2,53.1,normal
DEV020,humidity,大阪,2026-04-27 00:35:00,23.8,44.0,critical
DEV021,humidity,東京,2026-04-27 00:35:00,27.2,62.3,critical
DEV022,temperature,大阪,2026-04-27 00:35:00,27.8,55.7,normal
DEV023,temperature,東京,2026-04-27 00:35:00,25.9,31.2,normal
DEV024,humidity,東京,2026-04-27 00:35:00,21.7,30.2,normal
DEV025,humidity,大阪,2026-04-27 00:35:00,22.8,55.3,normal
DEV026,vibration,大阪,2026-04-27 00:35:00,24.4,48.1,normal
DEV027,temperature,愛知,2026-04-27 00:35:00,26.7,52.7,normal
DEV028,humidity,愛知,2026-04-27 00:35:00,19.9,32.0,normal
DEV029,temperature,大阪,2026-04-27 00:35:00,25.9,47.7,normal
DEV030,temperature,愛知,2026-04-27 00:35:00,24.1,34.4,N/A
DEV001,vibration,東京,2026-04-27 00:40:00,26.0,,normal
DEV002,temperature,愛知,2026-04-27 00:40:00,18.7,67.8,normal
DEV003,humidity,東京,2026-04-27 00:40:00,21.5,49.9,normal
DEV004,temperature,東京,2026-04-27 00:40:00,22.6,50.0,normal
DEV005,vibration,東京,2026-04-27 00:40:00,28.3,,normal
DEV006,vibration,愛知,2026-04-27 00:40:00,18.9,47.2,normal
DEV007,vibration,東京,2026-04-27 00:40:00,23.0,30.8,normal
DEV008,vibration,大阪,2026-04-27 00:40:00,29.4,57.6,normal
DEV009,temperature,東京,2026-04-27 00:40:00,28.1,53.6,critical
DEV010,temperature,東京,2026-04-27 00:40:00,28.4,38.9,normal
DEV011,temperature,愛知,2026-04-27 00:40:00,25.6,37.8,normal
DEV012,vibration,東京,2026-04-27 00:40:00,29.5,35.9,normal
DEV013,vibration,東京,2026-04-27 00:40:00,20.4,60.4,normal
DEV014,vibration,愛知,2026-04-27 00:40:00,27.3,60.2,N/A
DEV015,vibration,愛知,2026-04-27 00:40:00,29.1,55.4,N/A
DEV016,humidity,東京,2026-04-27 00:40:00,29.7,47.6,warning
DEV017,humidity,愛知,2026-04-27 00:40:00,21.6,32.2,critical
DEV018,humidity,東京,2026-04-27 00:40:00,23.5,,normal
DEV019,temperature,愛知,2026-04-27 00:40:00,18.9,64.2,N/A
DEV020,humidity,大阪,2026-04-27 00:40:00,22.6,68.2,normal
DEV021,humidity,東京,2026-04-27 00:40:00,27.7,42.9,warning
DEV022,temperature,大阪,2026-04-27 00:40:00,29.5,62.4,normal
DEV023,temperature,東京,2026-04-27 00:40:00,19.0,31.6,warning
DEV024,humidity,東京,2026-04-27 00:40:00,24.3,44.6,normal
DEV025,humidity,大阪,2026-04-27 00:40:00,27.3,32.1,normal
DEV026,vibration,大阪,2026-04-27 00:40:00,19.1,41.4,N/A
DEV027,temperature,愛知,2026-04-27 00:40:00,22.0,35.7,normal
DEV028,humidity,愛知,2026-04-27 00:40:00,25.9,35.2,normal
DEV029,temperature,大阪,2026-04-27 00:40:00,22.5,62.5,critical
DEV030,temperature,愛知,2026-04-27 00:40:00,26.0,30.7,normal
DEV001,vibration,東京,2026-04-27 00:45:00,20.6,49.5,normal
DEV002,temperature,愛知,2026-04-27 00:45:00,19.9,61.5,critical
DEV003,humidity,東京,2026-04-27 00:45:00,28.0,31.5,normal
DEV004,temperature,東京,2026-04-27 00:45:00,25.4,36.2,normal
DEV005,vibration,東京,2026-04-27 00:45:00,27.3,36.6,warning
DEV006,vibration,愛知,2026-04-27 00:45:00,999,58.8,warning
DEV007,vibration,東京,2026-04-27 00:45:00,27.0,39.4,normal
DEV008,vibration,大阪,2026-04-27 00:45:00,27.7,63.4,normal
DEV009,temperature,東京,2026-04-27 00:45:00,24.8,60.8,normal
DEV010,temperature,東京,2026-04-27 00:45:00,23.0,38.0,N/A
DEV011,temperature,愛知,2026-04-27 00:45:00,21.0,65.0,critical
DEV012,vibration,東京,2026-04-27 00:45:00,26.5,35.0,normal
DEV013,vibration,東京,2026-04-27 00:45:00,21.3,35.9,normal
DEV014,vibration,愛知,2026-04-27 00:45:00,28.9,65.4,normal
DEV015,vibration,愛知,2026-04-27 00:45:00,22.8,45.4,normal
DEV016,humidity,東京,2026-04-27 00:45:00,18.3,63.6,normal
DEV017,humidity,愛知,2026-04-27 00:45:00,19.7,63.2,normal
DEV018,humidity,東京,2026-04-27 00:45:00,23.6,66.2,normal
DEV019,temperature,愛知,2026-04-27 00:45:00,28.0,59.1,critical
DEV020,humidity,大阪,2026-04-27 00:45:00,27.3,34.9,normal
DEV021,humidity,東京,2026-04-27 00:45:00,27.5,34.4,warning
DEV022,temperature,大阪,2026-04-27 00:45:00,18.2,39.7,normal
DEV023,temperature,東京,2026-04-27 00:45:00,18.0,52.8,normal
DEV024,humidity,東京,2026-04-27 00:45:00,19.0,32.7,critical
DEV025,humidity,大阪,2026-04-27 00:45:00,27.4,30.8,warning
DEV026,vibration,大阪,2026-04-27 00:45:00,999,44.9,normal
DEV027,temperature,愛知,2026-04-27 00:45:00,18.8,56.3,normal
DEV028,humidity,愛知,2026-04-27 00:45:00,26.8,31.8,critical
DEV029,temperature,大阪,2026-04-27 00:45:00,25.7,57.4,warning
DEV030,temperature,愛知,2026-04-27 00:45:00,27.7,61.0,warning
DEV001,vibration,東京,2026-04-27 00:50:00,999,61.6,normal
DEV002,temperature,愛知,2026-04-27 00:50:00,21.7,62.6,warning
DEV003,humidity,東京,2026-04-27 00:50:00,27.0,44.3,normal
DEV004,temperature,東京,2026-04-27 00:50:00,22.0,44.7,normal
DEV005,vibration,東京,2026-04-27 00:50:00,28.7,68.9,warning
DEV006,vibration,愛知,2026-04-27 00:50:00,22.4,40.7,normal
DEV007,vibration,東京,2026-04-27 00:50:00,18.9,62.9,critical
DEV008,vibration,大阪,2026-04-27 00:50:00,19.2,41.8,warning
DEV009,temperature,東京,2026-04-27 00:50:00,23.1,44.1,normal
DEV010,temperature,東京,2026-04-27 00:50:00,28.9,47.4,normal
DEV011,temperature,愛知,2026-04-27 00:50:00,25.7,62.0,normal
DEV012,vibration,東京,2026-04-27 00:50:00,19.7,61.3,normal
DEV013,vibration,東京,2026-04-27 00:50:00,20.8,44.5,N/A
DEV014,vibration,愛知,2026-04-27 00:50:00,999,48.0,normal
DEV015,vibration,愛知,2026-04-27 00:50:00,27.2,51.2,normal
DEV016,humidity,東京,2026-04-27 00:50:00,21.3,31.0,normal
DEV017,humidity,愛知,2026-04-27 00:50:00,22.6,40.5,normal
DEV018,humidity,東京,2026-04-27 00:50:00,20.6,57.8,warning
DEV019,temperature,愛知,2026-04-27 00:50:00,19.6,36.9,warning
DEV020,humidity,大阪,2026-04-27 00:50:00,27.7,69.5,normal
DEV021,humidity,東京,2026-04-27 00:50:00,24.6,42.0,normal
DEV022,temperature,大阪,2026-04-27 00:50:00,29.1,61.7,critical
DEV023,temperature,東京,2026-04-27 00:50:00,29.8,39.5,warning
DEV024,humidity,東京,2026-04-27 00:50:00,,44.8,critical
DEV025,humidity,大阪,2026-04-27 00:50:00,28.6,45.9,warning
DEV026,vibration,大阪,2026-04-27 00:50:00,27.2,33.0,normal
DEV027,temperature,愛知,2026-04-27 00:50:00,23.4,43.8,critical
DEV028,humidity,愛知,2026-04-27 00:50:00,20.2,47.3,normal
DEV029,temperature,大阪,2026-04-27 00:50:00,24.2,36.5,normal
DEV030,temperature,愛知,2026-04-27 00:50:00,29.3,63.8,normal
DEV001,vibration,東京,2026-04-27 00:55:00,29.5,55.0,N/A
DEV002,temperature,愛知,2026-04-27 00:55:00,24.0,67.7,normal
DEV003,humidity,東京,2026-04-27 00:55:00,25.5,43.5,N/A
DEV004,temperature,東京,2026-04-27 00:55:00,999,33.2,N/A
DEV005,vibration,東京,2026-04-27 00:55:00,20.5,54.7,normal
DEV006,vibration,愛知,2026-04-27 00:55:00,25.5,68.3,warning
DEV007,vibration,東京,2026-04-27 00:55:00,27.7,48.1,normal
DEV008,vibration,大阪,2026-04-27 00:55:00,23.0,43.6,normal
DEV009,temperature,東京,2026-04-27 00:55:00,26.6,64.4,normal
DEV010,temperature,東京,2026-04-27 00:55:00,22.4,42.8,warning
DEV011,temperature,愛知,2026-04-27 00:55:00,23.4,32.0,normal
DEV012,vibration,東京,2026-04-27 00:55:00,23.0,66.1,normal
DEV013,vibration,東京,2026-04-27 00:55:00,26.7,36.4,critical
DEV014,vibration,愛知,2026-04-27 00:55:00,28.5,33.6,normal
DEV015,vibration,愛知,2026-04-27 00:55:00,29.6,44.1,normal
DEV016,humidity,東京,2026-04-27 00:55:00,25.2,56.9,normal
DEV017,humidity,愛知,2026-04-27 00:55:00,28.2,65.3,normal
DEV018,humidity,東京,2026-04-27 00:55:00,22.4,52.8,normal
DEV019,temperature,愛知,2026-04-27 00:55:00,21.5,48.0,critical
DEV020,humidity,大阪,2026-04-27 00:55:00,29.9,34.8,normal
DEV021,humidity,東京,2026-04-27 00:55:00,27.5,67.6,normal
DEV022,temperature,大阪,2026-04-27 00:55:00,24.1,31.8,normal
DEV023,temperature,東京,2026-04-27 00:55:00,27.6,36.0,critical
DEV024,humidity,東京,2026-04-27 00:55:00,29.2,45.7,N/A
DEV025,humidity,大阪,2026-04-27 00:55:00,21.6,63.1,critical
DEV026,vibration,大阪,2026-04-27 00:55:00,24.8,30.7,normal
DEV027,temperature,愛知,2026-04-27 00:55:00,29.8,61.9,normal
DEV028,humidity,愛知,2026-04-27 00:55:00,21.2,68.9,N/A
DEV029,temperature,大阪,2026-04-27 00:55:00,26.7,36.8,N/A
DEV030,temperature,愛知,2026-04-27 00:55:00,22.6,39.7,N/A
DEV001,vibration,東京,2026-04-27 01:00:00,19.3,N/A,normal
DEV002,temperature,愛知,2026-04-27 01:00:00,23.0,50.1,N/A
DEV003,humidity,東京,2026-04-27 01:00:00,28.5,32.5,normal
DEV004,temperature,東京,2026-04-27 01:00:00,24.7,49.1,normal
DEV005,vibration,東京,2026-04-27 01:00:00,20.1,43.7,normal
DEV006,vibration,愛知,2026-04-27 01:00:00,28.4,62.1,normal
DEV007,vibration,東京,2026-04-27 01:00:00,20.3,52.3,normal
DEV008,vibration,大阪,2026-04-27 01:00:00,29.8,58.2,warning
DEV009,temperature,東京,2026-04-27 01:00:00,22.2,61.8,normal
DEV010,temperature,東京,2026-04-27 01:00:00,24.9,65.8,normal
DEV011,temperature,愛知,2026-04-27 01:00:00,29.5,41.6,normal
DEV012,vibration,東京,2026-04-27 01:00:00,18.9,56.2,warning
DEV013,vibration,東京,2026-04-27 01:00:00,27.9,52.5,normal
DEV014,vibration,愛知,2026-04-27 01:00:00,25.4,39.7,critical
DEV015,vibration,愛知,2026-04-27 01:00:00,20.8,43.2,warning
DEV016,humidity,東京,2026-04-27 01:00:00,27.2,N/A,critical
DEV017,humidity,愛知,2026-04-27 01:00:00,19.9,65.2,warning
DEV018,humidity,東京,2026-04-27 01:00:00,20.4,42.8,normal
DEV019,temperature,愛知,2026-04-27 01:00:00,19.1,51.4,normal
DEV020,humidity,大阪,2026-04-27 01:00:00,20.1,37.0,normal
DEV021,humidity,東京,2026-04-27 01:00:00,22.8,67.5,normal
DEV022,temperature,大阪,2026-04-27 01:00:00,18.1,34.3,normal
